model_id,z,mu_theory,H0_km_s_Mpc
flat_LCDM,1.097572864,44.35029025,70
EdS,1.10359799,43.73905877,70
open_matter,1.10359799,44.1102206,70
flat_LCDM,1.10359799,44.36499928,70
EdS,1.109623116,43.75214849,70
open_matter,1.109623116,44.1249987,70
flat_LCDM,1.109623116,44.3796286,70
EdS,1.115648241,43.7651695,70
open_matter,1.115648241,44.13970462,70
flat_LCDM,1.115648241,44.39417902,70
EdS,1.121673367,43.77812253,70
open_matter,1.121673367,44.15433909,70
flat_LCDM,1.121673367,44.40865135,70
EdS,1.127698492,43.79100828,70
open_matter,1.127698492,44.16890282,70
flat_LCDM,1.127698492,44.4230464,70
EdS,1.133723618,43.80382746,70
open_matter,1.133723618,44.18339652,70
flat_LCDM,1.133723618,44.43736494,70
EdS,1.139748744,43.81658074,70
open_matter,1.139748744,44.19782089,70
flat_LCDM,1.139748744,44.45160776,70
EdS,1.145773869,43.8292688,70
open_matter,1.145773869,44.21217661,70
flat_LCDM,1.145773869,44.46577562,70
EdS,1.151798995,43.84189231,70
open_matter,1.151798995,44.22646435,70
flat_LCDM,1.151798995,44.47986927,70
EdS,1.157824121,43.85445192,70
open_matter,1.157824121,44.24068478,70
flat_LCDM,1.157824121,44.49388944,70
EdS,1.163849246,43.86694828,70
open_matter,1.163849246,44.25483854,70
flat_LCDM,1.163849246,44.50783687,70
EdS,1.169874372,43.87938203,70
open_matter,1.169874372,44.2689263,70
flat_LCDM,1.169874372,44.52171228,70
EdS,1.175899497,43.89175378,70
open_matter,1.175899497,44.28294867,70
flat_LCDM,1.175899497,44.53551637,70
EdS,1.181924623,43.90406415,70
open_matter,1.181924623,44.29690628,70
flat_LCDM,1.181924623,44.54924985,70
EdS,1.187949749,43.91631376,70
open_matter,1.187949749,44.31079975,70
flat_LCDM,1.187949749,44.5629134,70
EdS,1.193974874,43.92850319,70
open_matter,1.193974874,44.32462969,70
flat_LCDM,1.193974874,44.57650769,70
EdS,1.2,43.94063305,70
open_matter,1.2,44.33839669,70
flat_LCDM,1.2,44.5900334,70
